system:index,idx,lat,lon,.geo
0,0,23.390160417558445,-109.7487055750637,"{""type"":""Polygon"",""coordinates"":[[[-109.75099327051922,23.387888422409482],[-109.74641787962979,23.387888422409485],[-109.74641787962979,23.392432405334375],[-109.7509932705192,23.392432405334375],[-109.75099327051922,23.387888422409482]]]}"
1,1,32.40780391862841,-116.74732643119266,"{""type"":""Polygon"",""coordinates"":[[[-116.75354629897299,32.4003150825283],[-116.74110656343419,32.4003150825283],[-116.74110656343419,32.41529286346996],[-116.75354629897299,32.41529286346995],[-116.75354629897299,32.4003150825283]]]}"
2,2,31.88433209045586,-112.86486263668935,"{""type"":""Polygon"",""coordinates"":[[[-112.86857106145038,31.880117739547064],[-112.86115421195203,31.880117739547064],[-112.86115421195201,31.888546462335782],[-112.8685710614504,31.888546462335782],[-112.86857106145038,31.880117739547064]]]}"
3,3,29.251442292926825,-111.06295395904968,"{""type"":""Polygon"",""coordinates"":[[[-111.06749821535749,29.246242011777404],[-111.05840970275993,29.24624201177741],[-111.05840970275993,29.256642596629227],[-111.0674982153575,29.256642596629227],[-111.06749821535749,29.246242011777404]]]}"
4,4,28.699167043015155,-106.037512323617,"{""type"":""Polygon"",""coordinates"":[[[-106.04270216921597,28.6939974225509],[-106.03232247801832,28.6939974225509],[-106.03232247801832,28.704336635782415],[-106.04270216921597,28.704336635782415],[-106.04270216921597,28.6939974225509]]]}"
5,5,27.148573366206012,-104.97140746765912,"{""type"":""Polygon"",""coordinates"":[[[-104.97537422593882,27.14644347555003],[-104.96744070936278,27.146443475550026],[-104.96744070936278,27.150703172399567],[-104.97537422593882,27.150703172399567],[-104.97537422593882,27.14644347555003]]]}"
6,6,24.413767120554805,-106.7102873578234,"{""type"":""Polygon"",""coordinates"":[[[-106.7117998948899,24.412060382576804],[-106.70877482081109,24.412060382576804],[-106.70877482081109,24.41547385890752],[-106.71179989488991,24.41547385890752],[-106.7117998948899,24.412060382576804]]]}"
7,7,25.483238648303388,-102.1938488343794,"{""type"":""Polygon"",""coordinates"":[[[-102.19639467464174,25.479431308850323],[-102.19130299408346,25.479431308850323],[-102.19130299408346,25.48704602421846],[-102.19639467464174,25.48704602421846],[-102.19639467464174,25.479431308850323]]]}"
8,8,26.842390858912317,-100.65133180050911,"{""type"":""Polygon"",""coordinates"":[[[-100.65357658062852,26.84064893366515],[-100.64908702042759,26.84064893366515],[-100.64908702042759,26.844132766474704],[-100.65357658062852,26.844132766474704],[-100.65357658062852,26.84064893366515]]]}"
9,9,26.1116482365416,-99.5726834621189,"{""type"":""Polygon"",""coordinates"":[[[-99.57480672274471,26.109377103750802],[-99.57056020164244,26.109377103750806],[-99.57056020164242,26.11391936789405],[-99.57480672274471,26.11391936789405],[-99.57480672274471,26.109377103750802]]]}"
10,10,23.765195141816584,-103.96638652682597,"{""type"":""Polygon"",""coordinates"":[[[-103.96923748615367,23.761567133798703],[-103.96353556747802,23.761567133798707],[-103.96353556747802,23.768823164906244],[-103.96923748615367,23.768823164906244],[-103.96923748615367,23.761567133798703]]]}"
11,11,22.510339864776604,-105.39867075454704,"{""type"":""Polygon"",""coordinates"":[[[-105.40209034220916,22.50831162655968],[-105.3952511669112,22.50831162655968],[-105.3952511669112,22.512368050604092],[-105.40209034220916,22.512368050604092],[-105.40209034220916,22.50831162655968]]]}"
12,12,22.297359582006578,-102.89375040196727,"{""type"":""Polygon"",""coordinates"":[[[-102.89644847534733,22.295400346136862],[-102.89105232849937,22.295400346136862],[-102.89105232849937,22.299318791486698],[-102.89644847534733,22.299318791486698],[-102.89644847534733,22.295400346136862]]]}"
13,13,22.648415912280786,-101.68696318639834,"{""type"":""Polygon"",""coordinates"":[[[-101.68949764503718,22.645908605325513],[-101.68442872768901,22.64590860532551],[-101.68442872768902,22.65092320980982],[-101.68949764503716,22.650923209809825],[-101.68949764503718,22.645908605325513]]]}"
