id_sdfn,folio,sdf_nom,latitud,longitud,area_sup,s_deent
1,13068,RELLENO SANITARIO ZOQUIAPA,"2,069,639","-98,662,324",0,HIDALGO
22,12003,BASURERO MUNICIPAL LA LOMA ALTA,"18,160,267","-1,005,251",30000,GUERRERO
41,12018,BASURERO MUNICIPAL DE COPALA,"1,661,665,167","-9,895,824,167","48,345,705",GUERRERO
42,12022,BASURERO MUNICIPAL DE COYUCA DE CATALAN,"1,831,783,333","-10,072,536,111",30000,GUERRERO
43,12022,BASURERO DE PASO DE ARENA,"1,827,646,111","-10,083,476,389","12,521,338",GUERRERO
44,12022,BASURERO DE SANTA TERESA,"1,834,316,667","-10,085,011,111","29,030,047",GUERRERO
45,12025,BASURERO MUNICIPAL EL VALLE,"16,736,517","-99,024,217","3,116,623",GUERRERO
46,12054,BASURERO MUNICIPAL DE SAN MIGUEL TOTOLAPAN,"181,525","-10,042,602,778","9,191,281",GUERRERO
47,12064,BASURERO MUNICIPAL CERRO DEL CHUCUMPUN,"18,418,733","-1,005,214","6,615,606",GUERRERO
48,12073,BASURERO MUNICIPAL DE ZIRANDARO,"1,850,085","-10,102,355,278",5000,GUERRERO
49,12073,BASURERO DE GUAYAMEO,"1,832,421,944","-10,127,278,889",100,GUERRERO
50,12073,BASURERO DE ARATICHANGUIO,"1,848,702,222","-10,137,327,778",200,GUERRERO
51,12073,BASURERO DE SAN RAFAEL,"1,823,459,722","-101,147,975",200,GUERRERO
61,24005,RELLENO SANITARIO,"220,207,797","-996,942,419",200,SAN LUIS POTOSI
62,18008,RELLENO SANITARIO MUNICIPAL,"214,215,611,099,999","-10,491,295","4191,37",NAYARIT
67,24004,TIRADERO MUNICIPAL,"22,258","-100,643",10000,SAN LUIS POTOSI
81,24010,BASURERO MUNICIPAL,"22,442","-99,655",1440,SAN LUIS POTOSI
102,24027,TIRADERO A CIELO ABIERTO,"2,167,886,739","-9,978,966,519",9700,SAN LUIS POTOSI
123,24008,RELLENO SANITARIO PROVISIONAL,"22,445,977","-1,002,999,326",5000,SAN LUIS POTOSI
124,24017,BASURERO MUNICIPAL,"23,778,897","-100,722,367",3900,SAN LUIS POTOSI
125,24017,BASURERO ENTRONQUE EL HUIZACHE,"22,931","-100,451",10000,SAN LUIS POTOSI
141,24025,RELLENO SANITARIO,"2,264,924,759","-10,168,714,799",20000,SAN LUIS POTOSI
142,24030,BASURERO,"22,241","-100,535",20000,SAN LUIS POTOSI
143,24030,BASURERO DE LA COMUNIDAD DE SANTA CATARINA,"2,206,935,794","-10,049,486,904",20000,SAN LUIS POTOSI
144,24043,TIRADERO MUNICIPAL,"216,800,556","-1,005,766,111",14000,SAN LUIS POTOSI
145,24052,RELLENO SANITARIO MUNICIPAL,"223,052,308","-1,002,816,764",60000,SAN LUIS POTOSI
146,24052,BASUSERO DE LA COMUNIDAD DE GRANJENAL,"2,240,520,522","-10,007,347,068",0,SAN LUIS POTOSI
181,12007,BASURERO MUNICIPAL DE ARCELIA,"1,827,925","-10,027,247,222",40000,GUERRERO
182,12008,BASURERO MUNICIPAL DE ATENANGO DEL RIO,"18,088,617","-99,085,433","5,217,792",GUERRERO
183,12027,BASURERO MUNICIPAL DE CUTZAMALA DE PINZON,"1,848,305,167","-1,005,950,983","37,885,281",GUERRERO
184,12027,BASURERO DE ZACAPUATO,"18,651,502,778","-10,058,916,111","16,938,522",GUERRERO
185,12031,BASURERO MUNICIPAL EL TEQUIMIL,"18,411","-10,008,022,222","1,869,273",GUERRERO
186,12032,BASURERO MUNICIPAL EL ALAMO,"1,774,577,778","-9,995,955,556","156,929,502",GUERRERO
187,12034,RELLENO SANITARIO MUNICIPAL DE HUITZUCO DE LOS FIGUEROA,"1,828,169,833","-9,931,224,667","104,813,119",GUERRERO
201,3001,RELLENO SANITARIO LEY FEDERAL DE AGUAS NO. 5,"25,050,289","-111,574,855",230000,BAJA CALIFORNIA SUR
202,3001,RELLENO SANITARIO SAN CARLOS,"2,480,253,584","-11,207,350,555",100000,BAJA CALIFORNIA SUR
203,3001,RELLENO SANITARIO ADOLFO LOPEZ MATEOS,"25,191,765","-112,064,455",60000,BAJA CALIFORNIA SUR
204,3001,RELLENO SANITARIO CIUDAD INSURGENTES,"25,289,516","-111,715,444",100000,BAJA CALIFORNIA SUR
205,3001,SAN JUANICO-CADEJE,"26,289,722","-112,476,389",20000,BAJA CALIFORNIA SUR
206,3001,"ZARAGOZA, MARIA AUXILIADORA Y SANTO DOMINGO","2,538,794,199","-11,188,277,146",25000,BAJA CALIFORNIA SUR
207,3001,SAN ISIDRO-LA PURISIMA,"26,199,444","-112,039,444",20000,BAJA CALIFORNIA SUR
220,3002,RELLENO SANITARIO EL GATO,"2,738,753,586","-11,230,606,612",0,BAJA CALIFORNIA SUR
221,3002,LA BOCANA,"2,682,139,013","-11,371,704,589",0,BAJA CALIFORNIA SUR
222,3002,PUNTA ABREOJOS,"26,746,468","-113,599,178",0,BAJA CALIFORNIA SUR
